;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
147;10679182;11551724;12030831;12721811;15528088;15777865;16102979;17537969;19092068;19379817;21057412;21330218;22993415;23511016;23231419;26484698;26948881;28083689
148;10834847;11422456;11849828;12924770;15329399;16051437;16623695;17080438;18023825;19223435;20424025;21470595;22868937;22362841;24983659;25575018;27448153;27909005
149;10768694;11320158;12377170;12735939;15068915;16154448;16987739;17999926;18321870;19674842;20304727;20702500;21953816;24080204;22847906;26226076;26324098;28653794
150;11124303;11180423;11970799;12606841;15557495;16317338;16359873;17476364;18540778;19685203;20051364;20446172;22584229;23909003;24405186;25390204;27054397;28430974
151;10774990;11760382;12414283;12819784;15585636;15817513;16181793;17320413;18842889;19818382;21096572;21574715;21613467;23418930;24819196;25757959;27928029;28334999
152;10806029;11201097;12237210;12667849;15275933;15882784;16644153;17326178;18086536;18951983;20431494;21530264;22033368;22513340;24880692;25881796;27939584;28364727
153;11506644;11459906;12379604;12738003;15301611;15850748;16553798;18985130;18406060;18344193;19967769;22024246;22879425;22230039;24375687;26344547;27803816;28780063
154;10678698;11295339;11969333;12722972;15195288;15618889;16806316;17467008;18582581;19778392;20174930;21596533;21709178;23706955;25151915;26138726;27173383;28651213
155;11007903;11697934;11900732;12781737;15525285;15627589;16950162;17003078;19081383;19675249;20732866;21686071;22595508;23933471;23696279;26440276;27608603;28558365
156;10931595;11389943;11973026;14568496;15050562;16320092;16931688;17908169;18301959;18992789;19770047;21948940;23031201;24117474;23552078;26686599;27477536;28702785
157;10703049;11525330;12203684;14527617;14741668;16356325;16283098;18031688;18577292;19237269;20462805;21446782;22235303;23842608;22747521;25304819;27012986;28169393
158;10731771;11377345;12077009;12716951;15275914;16249909;16407533;17184978;18672069;19027075;20219285;22003388;22463985;23494122;25101625;26254114;26765944;28980938
159;10971642;11443728;12390981;12967923;15182316;15954140;16260156;17449179;18325545;19846721;20357191;20656041;22926663;21835247;25207971;25936550;26914651;28223186
160;10869586;11180429;11970810;12590915;14667419;15486986;16267114;17958472;17964548;19857008;20421135;21366885;23027970;24360551;23861215;25637390;27995067;28868952
161;11034858;11500598;12414280;14568504;15088055;15876491;17013380;17448450;18208900;18822322;20188198;20429858;22530264;23591073;25259586;26089095;27907094;28674173
162;11295854;11517272;11973474;14568482;15450503;15850734;16741204;17103153;18095789;19796920;19505991;20709330;23045652;23443361;24291502;25277236;26541580;27998777
163;10981742;11338201;11960807;12514228;15339645;15701242;17008877;17717689;18604528;19515911;20034998;22254933;22426993;22020878;24670207;25180985;26084229;27861879
164;10943694;11258399;12367516;14663183;15589109;15825843;17079679;18003189;18549791;18781590;19815081;20884354;22687953;23583748;24819224;25264353;27102424;27473324
